service,year,month,url
fhv,2015,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-01.parquet
fhv,2015,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-02.parquet
fhv,2015,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-03.parquet
fhv,2015,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-04.parquet
fhv,2015,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-05.parquet
fhv,2015,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-06.parquet
fhv,2015,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-07.parquet
fhv,2015,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-08.parquet
fhv,2015,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-09.parquet
fhv,2015,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-10.parquet
fhv,2015,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-11.parquet
fhv,2015,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2015-12.parquet
fhv,2016,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-01.parquet
fhv,2016,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-02.parquet
fhv,2016,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-03.parquet
fhv,2016,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-04.parquet
fhv,2016,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-05.parquet
fhv,2016,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-06.parquet
fhv,2016,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-07.parquet
fhv,2016,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-08.parquet
fhv,2016,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-09.parquet
fhv,2016,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-10.parquet
fhv,2016,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-11.parquet
fhv,2016,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2016-12.parquet
fhv,2017,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-01.parquet
fhv,2017,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-02.parquet
fhv,2017,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-03.parquet
fhv,2017,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-04.parquet
fhv,2017,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-05.parquet
fhv,2017,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-06.parquet
fhv,2017,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2017-07.parquet
